('neg', 0.215):('neu', 0.645):('pos', 0.14):('compound', -0.1779)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.18):('neu', 0.676):('pos', 0.144):('compound', -0.1621)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.128):('neu', 0.542):('pos', 0.33):('compound', 0.4554)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.455):('neu', 0.545):('pos', 0.0):('compound', -0.3612)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.685):('pos', 0.315):('compound', 0.3182)
('neg', 0.0):('neu', 0.607):('pos', 0.393):('compound', 0.3804)
('neg', 0.154):('neu', 0.846):('pos', 0.0):('compound', -0.25)
('neg', 0.188):('neu', 0.688):('pos', 0.123):('compound', -0.4215)
('neg', 0.0):('neu', 0.723):('pos', 0.277):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.149):('neu', 0.851):('pos', 0.0):('compound', -0.0572)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.099):('neu', 0.852):('pos', 0.049):('compound', -0.2732)
('neg', 0.273):('neu', 0.727):('pos', 0.0):('compound', -0.5423)
('neg', 0.0):('neu', 0.492):('pos', 0.508):('compound', 0.4767)
('neg', 0.0):('neu', 0.874):('pos', 0.126):('compound', 0.3818)
('neg', 0.0):('neu', 0.722):('pos', 0.278):('compound', 0.6124)
('neg', 0.0):('neu', 0.45):('pos', 0.55):('compound', 0.0572)
('neg', 0.0):('neu', 0.753):('pos', 0.247):('compound', 0.3875)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.532):('neu', 0.468):('pos', 0.0):('compound', -0.8854)
('neg', 0.29):('neu', 0.71):('pos', 0.0):('compound', -0.6492)
('neg', 0.337):('neu', 0.533):('pos', 0.13):('compound', -0.5423)
('neg', 0.0):('neu', 0.465):('pos', 0.535):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.807):('pos', 0.193):('compound', 0.3875)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.37):('neu', 0.63):('pos', 0.0):('compound', -0.6472)
('neg', 0.162):('neu', 0.632):('pos', 0.207):('compound', 0.2144)
('neg', 0.0):('neu', 0.723):('pos', 0.277):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.777):('pos', 0.223):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.887):('pos', 0.113):('compound', 0.0762)
('neg', 0.318):('neu', 0.682):('pos', 0.0):('compound', -0.1027)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.282):('neu', 0.581):('pos', 0.137):('compound', -0.2488)
('neg', 0.0):('neu', 0.607):('pos', 0.393):('compound', 0.3804)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.083):('neu', 0.718):('pos', 0.199):('compound', 0.2732)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.06):('neu', 0.94):('pos', 0.0):('compound', -0.2263)
('neg', 0.0):('neu', 0.602):('pos', 0.398):('compound', 0.4526)
('neg', 0.0):('neu', 0.843):('pos', 0.157):('compound', 0.4404)
('neg', 0.0):('neu', 0.847):('pos', 0.153):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.45):('neu', 0.55):('pos', 0.0):('compound', -0.8689)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.238):('neu', 0.556):('pos', 0.206):('compound', -0.1045)
('neg', 0.49):('neu', 0.412):('pos', 0.098):('compound', -0.765)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
